AssignID,EmpID,ProjectID,Role,HoursWorked
173,9315,442,Tech Lead,84
174,3628,98,QA Engineer,160
175,1737,215,Developer,32
176,7746,247,Project Manager,28
177,1029,232,Project Manager,117
178,3434,378,Developer,114
179,5826,218,Business Analyst,156
180,878,276,Business Analyst,152
181,7081,247,Business Analyst,153
182,7746,37,Business Analyst,168
183,4146,494,Developer,81
184,9830,115,Project Manager,107
185,1402,44,Business Analyst,107
186,1084,149,Project Manager,133
187,1926,466,Tech Lead,89
188,5669,294,Business Analyst,86
189,4927,283,Project Manager,134
190,7902,161,Project Manager,157
191,6319,465,Developer,22
192,2044,72,Project Manager,76
193,3639,316,QA Engineer,171
194,9830,39,Developer,33
195,8845,156,Business Analyst,100
196,5727,272,QA Engineer,72
197,3524,22,Business Analyst,189
198,1212,258,Business Analyst,11
199,5089,39,QA Engineer,59
200,253,263,QA Engineer,132
201,7987,422,QA Engineer,15
202,4429,500,Tech Lead,79
203,5380,120,QA Engineer,136
204,9337,158,Developer,27
205,9192,391,Tech Lead,43
206,613,456,Tech Lead,15
207,1804,309,Project Manager,44
208,7858,449,Project Manager,78
209,6274,224,QA Engineer,36
210,5445,52,Tech Lead,77
211,303,85,Developer,162
212,6287,292,Project Manager,194
213,4146,427,Business Analyst,44
214,2637,319,Developer,76
215,3852,107,Project Manager,109
216,659,365,Tech Lead,151
217,6514,303,Business Analyst,102
218,6502,272,Developer,151
219,8828,308,Developer,119
220,1958,290,Tech Lead,169
221,1837,130,QA Engineer,204
222,7307,192,Developer,191
223,5712,136,Developer,10
224,9812,187,Project Manager,98
225,5940,422,Project Manager,16
226,6917,122,Business Analyst,184
227,335,97,Business Analyst,201
228,3429,405,Developer,77
229,1762,415,Tech Lead,102
230,3738,78,Tech Lead,171
231,7884,393,Tech Lead,198
232,4228,235,QA Engineer,140
233,9561,82,Tech Lead,144
234,1888,200,Developer,148
235,9901,91,QA Engineer,53
236,4233,463,Business Analyst,17
237,505,455,Developer,192
238,6926,156,Tech Lead,164
239,2851,66,Project Manager,119
240,3085,169,Business Analyst,160
241,6922,315,Developer,81
242,3443,229,Tech Lead,176
243,4977,231,QA Engineer,135
244,9480,10,Developer,154
245,2852,393,Project Manager,85
246,9332,96,Developer,191
247,2469,406,Business Analyst,151
248,7204,206,Tech Lead,90
249,3546,360,QA Engineer,30
250,2851,301,Project Manager,63
251,7471,109,Project Manager,91
252,3074,301,Project Manager,163
253,8992,78,Project Manager,80
254,4963,206,Developer,24
255,2477,46,Tech Lead,12
256,9893,44,Developer,119
257,2774,122,Developer,125
258,8084,128,Tech Lead,133
259,3079,324,Tech Lead,45
260,3673,168,Tech Lead,48
261,6118,22,Business Analyst,135
262,8134,64,Business Analyst,185
263,7300,377,Developer,24
264,7881,465,Developer,42
265,7881,433,Tech Lead,64
266,2223,187,Project Manager,15
267,1755,133,Tech Lead,208
268,7716,388,Developer,198
269,1879,193,QA Engineer,12
270,5491,15,Developer,80
271,6616,285,Developer,168
272,3562,120,Tech Lead,208
273,6273,280,Business Analyst,20
274,5026,280,Tech Lead,56
275,9645,284,Developer,58
276,8087,395,Project Manager,49
277,580,218,Developer,28
278,3692,28,Project Manager,105
279,8420,88,Developer,88
280,4309,65,Project Manager,124
281,9747,140,Tech Lead,142
282,4977,89,QA Engineer,13
283,1081,496,Business Analyst,54
284,1743,491,Developer,123
285,3302,218,QA Engineer,131
286,6611,210,Tech Lead,183
287,1528,78,QA Engineer,76
288,4501,488,QA Engineer,26
289,1245,329,Developer,56
290,9518,377,Tech Lead,209
291,5686,242,QA Engineer,23
292,9731,463,Business Analyst,154
293,2734,124,Developer,77
294,9976,157,Business Analyst,94
295,1191,121,Tech Lead,80
296,1918,289,Tech Lead,15
297,4220,70,Tech Lead,127
298,187,56,Project Manager,161
299,7673,261,Business Analyst,58
300,1438,255,Tech Lead,66
301,5816,497,Project Manager,182
302,3293,289,Project Manager,203
303,9740,66,Project Manager,64
304,6742,97,Developer,78
305,412,156,Project Manager,159
306,4267,298,Project Manager,111
307,659,175,Project Manager,204
308,7300,19,Tech Lead,134
309,6806,53,Tech Lead,170
310,4263,38,Project Manager,57
311,8952,456,Developer,64
312,9300,247,Tech Lead,116
313,5661,195,Business Analyst,99
314,2834,3,QA Engineer,98
315,1081,181,Project Manager,71
316,6018,191,Project Manager,74
317,8571,371,QA Engineer,165
318,7050,117,QA Engineer,172
319,2234,385,Business Analyst,187
320,870,86,Business Analyst,172
321,3050,450,Business Analyst,57
322,1821,464,QA Engineer,203
323,9170,470,Business Analyst,88
324,5450,415,QA Engineer,139
325,4327,224,QA Engineer,155
326,386,468,Business Analyst,137
327,4502,438,Project Manager,103
328,3690,448,Developer,82
329,2346,102,QA Engineer,52
330,9537,384,QA Engineer,129
331,1596,396,Developer,139
332,7520,140,Tech Lead,108
333,3272,492,Tech Lead,15
334,7895,285,QA Engineer,204
335,4013,451,Tech Lead,134
336,7004,296,Project Manager,83
337,9921,470,Business Analyst,79
338,6900,262,Developer,13
339,4826,224,Project Manager,164
340,4315,5,Project Manager,81
341,8317,327,Project Manager,95
342,7583,131,QA Engineer,151
343,1447,359,Developer,190
344,6126,191,Project Manager,170
345,8805,491,Tech Lead,120
346,8043,356,Project Manager,37
347,4022,101,QA Engineer,166
348,4998,253,Developer,159
349,3608,276,Business Analyst,77
350,8908,334,Developer,145
351,5520,175,Business Analyst,145
352,1580,427,Developer,188
353,5333,325,Business Analyst,49
354,6551,374,QA Engineer,140
355,2172,133,Project Manager,191
356,4722,143,Developer,138
357,3712,191,QA Engineer,182
358,6277,98,QA Engineer,139
359,5251,398,Tech Lead,60
360,9937,198,Developer,148
361,3767,344,Tech Lead,103
362,8288,338,QA Engineer,47
363,8133,37,Developer,26
364,9452,20,Project Manager,124
365,4064,302,Business Analyst,158
366,3749,123,Business Analyst,67
367,6724,93,QA Engineer,195
368,8388,19,Developer,46
369,1497,419,Developer,94
370,2506,337,Developer,65
371,429,464,Project Manager,106
372,722,401,Tech Lead,139
373,5461,271,QA Engineer,18
374,5592,446,Developer,133
375,3617,124,QA Engineer,34
376,6984,382,Project Manager,55
377,7797,239,Project Manager,170
378,7103,348,Developer,103
379,900,332,Developer,181
380,8433,219,Developer,131
381,5003,70,QA Engineer,92
382,2964,286,Business Analyst,163
383,7881,443,Business Analyst,29
384,6828,435,Project Manager,106
385,3079,459,Developer,31
386,9927,34,Tech Lead,196
387,4707,34,Business Analyst,77
388,2377,8,QA Engineer,55
389,6363,489,Business Analyst,200
390,5457,226,QA Engineer,171
391,3465,369,Tech Lead,208
392,8451,366,Tech Lead,52
393,4284,497,QA Engineer,201
394,7425,30,Project Manager,156
395,2413,257,Business Analyst,79
396,9523,30,Developer,99
397,7900,394,Tech Lead,92
398,5368,32,Tech Lead,201
399,9178,258,Business Analyst,166
400,2007,75,Project Manager,24
401,2787,414,Project Manager,140
402,558,38,QA Engineer,44
403,2435,334,Developer,167
404,6655,180,QA Engineer,60
405,5222,97,Project Manager,83
406,8541,111,Tech Lead,152
407,6131,144,Project Manager,21
408,8329,459,Business Analyst,58
409,6847,25,Developer,116
410,9388,178,Business Analyst,79
411,6820,45,Tech Lead,201
412,9364,462,Project Manager,101
413,3424,272,Business Analyst,113
414,871,468,Business Analyst,188
415,7670,297,Developer,127
416,7832,424,QA Engineer,183
417,4845,456,Business Analyst,172
418,7824,76,Business Analyst,114
419,8304,298,Developer,177
420,3241,180,QA Engineer,35
421,8606,353,Project Manager,129
422,4007,337,Project Manager,170
423,7078,194,Developer,122
424,6781,260,Developer,59
425,5234,80,Developer,202
426,2562,426,Tech Lead,120
427,1888,376,Project Manager,179
428,2587,79,Project Manager,177
429,7473,256,Project Manager,169
430,505,424,Project Manager,13
431,6730,494,Business Analyst,48
432,9495,346,Tech Lead,88
433,126,148,Project Manager,64
434,8547,142,Tech Lead,45
435,2651,451,Business Analyst,139
436,6840,441,Developer,67
437,6266,490,QA Engineer,155
438,9600,116,QA Engineer,138
439,1790,198,Business Analyst,70
440,3904,15,QA Engineer,28
441,9073,345,Business Analyst,11
442,2135,306,Business Analyst,190
443,10000,221,QA Engineer,116
444,9263,308,Business Analyst,78
445,5743,411,Business Analyst,164
446,7250,300,Developer,84
447,7103,6,Business Analyst,40
448,2167,457,QA Engineer,67
449,5885,399,Developer,208
450,3171,41,Tech Lead,30
451,176,248,Project Manager,116
452,3484,187,QA Engineer,125
453,2924,431,Developer,56
454,6383,15,Project Manager,112
455,2563,481,Business Analyst,58
456,4635,429,Business Analyst,160
457,5182,314,QA Engineer,209
458,4771,7,Project Manager,50
459,7087,397,QA Engineer,181
460,1100,346,Tech Lead,69
461,4434,37,QA Engineer,107
462,7996,282,Developer,32
463,4114,12,Business Analyst,128
464,9632,40,Tech Lead,31
465,4387,289,Project Manager,35
466,8549,481,Business Analyst,77
467,3566,303,Project Manager,29
468,5598,433,Project Manager,129
469,8269,134,Project Manager,121
470,8261,46,Project Manager,171
471,7974,447,Business Analyst,102
472,659,113,Project Manager,173
473,6502,40,Project Manager,98
474,3332,9,Business Analyst,164
475,1383,491,Tech Lead,206
476,4795,437,Business Analyst,29
477,7987,418,Business Analyst,142
478,5013,444,Project Manager,90
479,7950,117,Tech Lead,176
480,8283,4,Business Analyst,165
481,4299,437,Developer,178
482,4337,137,Project Manager,201
483,4207,493,QA Engineer,189
484,8449,232,Project Manager,102
485,697,368,Tech Lead,38
486,2664,110,QA Engineer,179
487,7981,75,Project Manager,33
488,7275,13,Project Manager,155
489,3229,202,QA Engineer,150
490,9966,371,Developer,171
491,3861,388,QA Engineer,54
492,7670,452,Developer,87
493,856,17,Project Manager,197
494,821,238,Tech Lead,122
495,8214,181,Project Manager,119
496,2934,304,Business Analyst,148
497,7089,359,Project Manager,172
498,4156,165,QA Engineer,115
499,3692,221,QA Engineer,93
500,6329,200,Tech Lead,125
501,5450,296,Business Analyst,30
502,3849,463,QA Engineer,194
503,7352,162,QA Engineer,20
504,6531,437,Tech Lead,100
505,4896,322,Business Analyst,151
506,5457,286,Project Manager,207
507,143,372,Business Analyst,94
508,3576,292,QA Engineer,51
509,2938,198,QA Engineer,47
510,3060,445,Business Analyst,55
511,2123,99,QA Engineer,46
512,9476,97,Developer,173
513,2097,13,Developer,186
514,1976,499,Business Analyst,155
515,5991,100,Developer,77
516,3190,140,Tech Lead,93
517,6526,275,Project Manager,90
518,7876,393,QA Engineer,38
519,140,400,Project Manager,31
520,705,411,Developer,22
521,7015,412,Developer,194
522,6783,394,Tech Lead,154
523,4508,270,Project Manager,38
524,4965,252,Tech Lead,208
525,5361,451,QA Engineer,133
526,217,369,Developer,154
527,7455,52,QA Engineer,60
528,2435,375,Business Analyst,200
529,885,121,Developer,204
530,9310,33,QA Engineer,80
531,7048,225,Developer,140
532,2138,341,Tech Lead,16
533,9687,413,QA Engineer,90
534,6297,399,Developer,143
535,2008,200,Business Analyst,121
536,3293,313,Project Manager,169
537,9567,118,Developer,170
538,7792,66,Project Manager,178
539,5714,291,Project Manager,189
540,3293,489,Developer,39
541,8258,226,Tech Lead,94
542,3849,262,QA Engineer,82
543,5688,368,Project Manager,50
544,8388,441,Business Analyst,37
545,5110,99,QA Engineer,81
546,3824,43,Developer,179
547,6404,442,QA Engineer,75
548,7899,226,Project Manager,91
549,4759,281,Developer,37
550,1262,158,Developer,198
551,6396,339,Project Manager,139
552,6054,227,Developer,174
553,9365,122,Developer,29
554,3950,139,QA Engineer,119
555,1163,342,QA Engineer,116
556,2274,211,Developer,144
557,915,395,Developer,19
558,518,103,QA Engineer,184
559,5696,242,QA Engineer,112
560,6035,188,Business Analyst,82
561,7011,153,Developer,154
562,9031,106,QA Engineer,51
563,4238,496,Business Analyst,18
564,3050,124,QA Engineer,121
565,9023,116,QA Engineer,12
566,9161,469,Project Manager,115
567,909,252,QA Engineer,77
568,8302,146,Tech Lead,29
569,1215,488,Project Manager,132
570,2989,21,Project Manager,99
571,4683,228,QA Engineer,122
572,400,21,Tech Lead,66
573,9893,415,Tech Lead,100
574,8295,200,Project Manager,28
575,6573,75,Business Analyst,141
576,6283,375,QA Engineer,26
577,1762,280,Tech Lead,62
578,854,282,Developer,81
579,589,18,QA Engineer,48
580,9886,447,Business Analyst,176
581,1933,298,Business Analyst,54
582,9363,193,QA Engineer,46
583,6393,264,Tech Lead,102
584,2345,142,Business Analyst,205
585,526,281,Project Manager,158
586,8165,211,QA Engineer,171
587,7322,165,Project Manager,136
588,821,492,QA Engineer,110
589,368,198,Developer,208
590,7698,387,Project Manager,165
591,5352,218,Developer,146
592,144,195,Project Manager,59
593,7048,291,Project Manager,190
594,8577,211,Developer,197
595,3870,310,QA Engineer,166
596,2199,134,Tech Lead,176
597,2251,374,Developer,12
598,3943,429,Project Manager,134
599,6238,59,Developer,86
600,4667,99,Developer,24
601,6346,173,Project Manager,124
602,9848,418,Tech Lead,178
603,2029,40,Business Analyst,62
604,8122,72,Tech Lead,139
605,9419,360,Tech Lead,176
606,7908,294,Tech Lead,100
607,9228,488,QA Engineer,103
608,6808,172,Project Manager,206
609,2285,336,Project Manager,18
610,4379,472,QA Engineer,166
611,3942,245,Developer,19
612,3461,10,Tech Lead,139
613,6935,216,Project Manager,14
614,9973,223,Developer,51
615,1717,324,Business Analyst,111
616,8214,60,QA Engineer,187
617,2562,408,QA Engineer,109
618,6400,365,Business Analyst,110
619,6561,402,Project Manager,91
620,675,480,QA Engineer,154
621,9488,472,Tech Lead,99
622,1754,133,Business Analyst,168
623,632,181,Tech Lead,147
624,5975,458,Developer,163
625,9518,452,QA Engineer,26
626,2618,265,Tech Lead,37
627,7893,30,Developer,57
628,4831,143,Developer,70
629,9755,18,Project Manager,195
630,5988,29,QA Engineer,23
631,7250,104,QA Engineer,71
632,140,285,Tech Lead,120
633,3151,269,Business Analyst,107
634,2965,29,Tech Lead,40
635,8849,451,Business Analyst,136
636,1196,461,QA Engineer,179
637,9718,466,Project Manager,34
638,420,241,Tech Lead,139
639,8845,20,Tech Lead,103
640,7819,352,Project Manager,153
641,9567,270,Project Manager,125
642,3598,280,QA Engineer,202
643,5323,334,QA Engineer,125
644,2474,284,QA Engineer,100
645,8451,382,Business Analyst,132
646,9337,279,QA Engineer,96
647,5858,323,Project Manager,102
648,8733,220,Tech Lead,47
649,8952,220,Developer,67
650,5901,418,QA Engineer,159
651,5195,146,Project Manager,165
652,2,334,QA Engineer,165
653,3083,232,Project Manager,85
654,1935,386,Business Analyst,58
655,6045,294,Business Analyst,50
656,2077,366,Project Manager,32
657,2135,179,Business Analyst,147
658,1135,307,Business Analyst,164
659,4148,24,Business Analyst,146
660,6256,53,Business Analyst,147
661,7631,328,QA Engineer,209
662,6779,230,Developer,30
663,7760,200,Developer,118
664,2605,483,Developer,32
665,2965,458,Business Analyst,88
666,6409,391,Tech Lead,84
667,7011,376,Project Manager,97
668,79,221,Business Analyst,193
669,2944,432,QA Engineer,123
670,3979,283,Tech Lead,136
671,8307,70,Project Manager,85
672,8863,33,Developer,130
673,2435,155,Developer,141
674,2435,286,Business Analyst,36
675,7790,173,Developer,198
676,4871,352,Tech Lead,28
677,864,378,Project Manager,65
678,878,202,Business Analyst,195
679,553,156,Developer,53
680,4937,254,Tech Lead,146
681,8215,467,QA Engineer,24
682,9876,153,Business Analyst,175
683,2140,297,Tech Lead,180
684,8839,287,Business Analyst,103
685,4779,278,QA Engineer,45
686,6820,230,QA Engineer,59
687,4448,269,Developer,48
688,6287,89,Developer,173
689,1402,209,QA Engineer,83
690,2539,338,Developer,17
691,545,65,Business Analyst,161
692,2094,219,Project Manager,94
693,7847,118,QA Engineer,189
694,5717,102,Business Analyst,188
695,8640,311,Business Analyst,179
696,9671,442,QA Engineer,30
697,8389,99,QA Engineer,140
698,4276,359,Business Analyst,159
699,6545,416,Business Analyst,104
700,5292,187,Project Manager,182
701,7399,231,Business Analyst,75
702,4365,144,Tech Lead,51
703,7034,351,Business Analyst,170
704,2830,106,Project Manager,153
705,4378,194,Business Analyst,205
706,7819,95,Developer,124
707,3962,172,Tech Lead,172
708,3416,423,QA Engineer,162
709,5467,112,QA Engineer,148
710,9633,195,Business Analyst,60
711,9819,192,QA Engineer,121
712,5832,447,QA Engineer,35
713,4266,9,Developer,19
714,3807,26,Business Analyst,77
715,627,405,Business Analyst,147
716,7618,71,QA Engineer,63
717,7653,335,Project Manager,188
718,1267,83,Business Analyst,74
719,8799,304,Developer,124
720,2384,91,Developer,32
721,9465,369,Business Analyst,130
722,6108,93,QA Engineer,149
723,6859,97,Tech Lead,199
724,8997,495,Tech Lead,96
725,4846,257,Tech Lead,47
726,1877,189,Project Manager,97
727,2196,135,Developer,207
728,9324,245,Business Analyst,66
729,8659,154,Project Manager,78
730,339,18,QA Engineer,32
731,1653,326,Project Manager,174
732,2901,167,Tech Lead,129
733,3965,2,Project Manager,49
734,7920,199,Tech Lead,190
735,7609,471,QA Engineer,46
736,4276,317,Developer,167
737,765,179,QA Engineer,123
738,909,39,Project Manager,99
739,5499,172,Business Analyst,122
740,2919,440,Business Analyst,135
741,2638,197,Business Analyst,46
742,843,291,Business Analyst,76
743,5929,354,Business Analyst,148
744,8358,439,Business Analyst,187
745,4626,105,Project Manager,44
746,138,279,Project Manager,113
747,2469,149,Tech Lead,152
748,674,8,Tech Lead,149
749,9144,319,Business Analyst,201
750,9565,428,Business Analyst,207
751,7866,104,Project Manager,207
752,1535,279,Business Analyst,113
753,1528,200,Developer,55
754,813,30,Business Analyst,95
755,300,227,Tech Lead,76
756,5484,297,Project Manager,16
757,4284,319,Developer,128
758,4571,214,Tech Lead,180
759,7863,103,Tech Lead,113
760,8743,409,Tech Lead,149
761,6572,223,Developer,111
762,7673,440,QA Engineer,16
763,9435,362,Developer,26
764,5592,90,Developer,203
765,429,67,Project Manager,86
766,5791,329,Project Manager,14
767,2003,17,Business Analyst,112
768,4600,350,Tech Lead,108
769,831,351,QA Engineer,175
770,3482,289,Tech Lead,185
771,9300,356,Tech Lead,14
772,4490,231,Business Analyst,82
773,291,384,Developer,150
774,8038,257,Business Analyst,170
775,9148,298,Project Manager,198
776,2436,189,Tech Lead,65
777,5857,444,QA Engineer,181
778,4861,137,Tech Lead,37
779,1765,467,Business Analyst,59
780,386,277,Business Analyst,42
781,4148,385,Project Manager,197
782,2122,247,Tech Lead,139
783,673,123,Developer,56
784,4917,470,Business Analyst,105
785,8586,297,Tech Lead,147
786,1024,357,QA Engineer,152
787,857,311,QA Engineer,119
788,8389,214,Tech Lead,15
789,6060,252,Business Analyst,192
790,6363,138,Tech Lead,69
791,8968,192,Business Analyst,106
792,8988,397,QA Engineer,111
793,3074,127,Business Analyst,142
794,4328,388,Developer,127
795,6930,105,Project Manager,28
796,4495,24,Business Analyst,139
797,6692,78,QA Engineer,41
798,5288,177,Business Analyst,69
799,7090,345,QA Engineer,80
800,8586,418,Business Analyst,31
801,7262,446,Project Manager,202
802,6654,413,Project Manager,21
803,9624,357,Developer,144
804,218,382,Tech Lead,76
805,9363,242,QA Engineer,21
806,5213,246,Developer,79
807,9964,313,Tech Lead,206
808,9106,477,Developer,134
809,2099,225,QA Engineer,147
810,3812,430,Developer,62
811,6514,91,Tech Lead,197
812,2377,220,Tech Lead,22
813,4586,253,Developer,56
814,6422,48,Tech Lead,85
815,4443,345,Business Analyst,168
816,3134,239,Business Analyst,95
817,3993,433,Tech Lead,101
818,7835,235,Developer,87
819,7043,278,Project Manager,104
820,5513,6,Developer,116
821,7478,371,Project Manager,69
822,9073,360,Project Manager,118
823,5219,373,Developer,185
824,7148,422,Project Manager,23
825,9056,194,QA Engineer,108
826,5304,430,Developer,115
827,7581,99,Developer,38
828,3776,176,QA Engineer,154
829,3812,396,Tech Lead,90
830,6289,412,Project Manager,203
831,874,52,QA Engineer,167
832,8275,428,QA Engineer,25
833,5944,279,Tech Lead,155
834,5887,136,Business Analyst,135
835,1233,58,Developer,89
836,1100,322,Tech Lead,189
837,9102,147,Developer,130
838,666,314,QA Engineer,122
839,3759,383,Business Analyst,125
840,2302,72,Tech Lead,41
841,9315,393,Business Analyst,96
842,3738,494,Project Manager,54
843,1173,482,Developer,118
844,2145,349,Business Analyst,88
845,6908,292,QA Engineer,16
846,5534,160,Project Manager,30
847,2972,313,Business Analyst,14
848,6891,238,QA Engineer,92
849,1829,251,QA Engineer,70
850,2359,71,QA Engineer,13
851,2643,268,Developer,72
852,2978,272,Project Manager,31
853,1778,129,Business Analyst,202
854,9158,240,Project Manager,68
855,4703,331,Tech Lead,39
856,6421,15,Project Manager,125
857,8069,379,Tech Lead,24
858,7132,495,Developer,135
859,7011,27,Business Analyst,53
860,2388,450,Project Manager,71
861,3414,320,Developer,18
862,7612,429,Tech Lead,87
863,6508,261,Tech Lead,37
864,5633,189,Tech Lead,185
865,3416,163,Tech Lead,139
866,2657,338,QA Engineer,160
867,3846,16,Tech Lead,152
868,9555,205,QA Engineer,164
869,7415,106,Business Analyst,62
870,9423,419,Tech Lead,124
871,966,31,Tech Lead,18
872,6531,322,Tech Lead,35
873,6799,71,Tech Lead,108
874,7843,172,Developer,181
875,1924,207,Developer,124
876,987,253,Project Manager,176
877,2140,102,Developer,32
878,8565,195,Tech Lead,86
879,6502,124,Business Analyst,91
880,1193,197,Developer,47
881,4397,92,Tech Lead,109
882,967,302,QA Engineer,161
883,6396,364,QA Engineer,47
884,8126,452,Project Manager,130
885,6650,365,Project Manager,189
886,5904,43,QA Engineer,73
887,9230,61,QA Engineer,92
888,913,217,Tech Lead,138
889,7847,18,Business Analyst,131
890,5681,74,Business Analyst,105
891,8384,2,Project Manager,203
892,1489,263,QA Engineer,35
893,974,323,Developer,65
894,5857,409,Developer,130
895,4374,265,Business Analyst,49
896,89,113,Business Analyst,183
897,6284,157,Developer,58
898,9318,426,Project Manager,104
899,6077,298,Project Manager,102
900,4405,51,Tech Lead,33
901,9278,251,Project Manager,56
902,1162,188,Developer,28
903,1035,497,Tech Lead,53
904,5544,82,Developer,131
905,2557,444,Developer,86
906,4487,133,Tech Lead,98
907,1144,379,Business Analyst,186
908,2487,59,Business Analyst,135
909,1873,450,QA Engineer,158
910,4184,160,Business Analyst,68
911,6234,489,QA Engineer,110
912,3411,29,Developer,121
913,7262,224,Tech Lead,170
914,1808,427,Developer,52
915,2294,474,Tech Lead,156
916,1837,439,Tech Lead,154
917,9245,20,Developer,182
918,1790,105,Business Analyst,125
919,609,237,Tech Lead,95
920,852,203,Tech Lead,189
921,1233,40,Business Analyst,196
922,5114,188,Developer,41
923,4826,443,Developer,48
924,8233,191,Tech Lead,37
925,1557,484,QA Engineer,126
926,9633,483,Business Analyst,11
